brand,generic,category
paxil,paroxetine,antidepressant
effexor,venlafaxine,antidepressant
cymbalta,duloxetine,antidepressant
neurontin,gabapentin,neuropathic
lyrica,pregabalin,neuropathic
carbatrol,carbamazepine,antiepileptic
depakote,valproate,antiepileptic
levetiracetam,levetiracetam,antiepileptic
topiragen,topiramate,antiepileptic
dolokind,paracetamol,analgesic
pacimol,paracetamol,analgesic
fevastin,paracetamol,analgesic
ibugesic,ibuprofen,analgesic
ibuclin,ibuprofen paracetamol,analgesic
flexura,chlorzoxazone paracetamol,analgesic
myospaz,chlorzoxazone,analgesic
thiocolchicoside,thiocolchicoside,muscle relaxant
zerodol sp,aceclofenac serratiopeptidase,analgesic
movexx sp,aceclofenac paracetamol serratiopeptidase,analgesic
napra d,naproxen domperidone,analgesic
ketorol dt,ketorolac,analgesic
dolowin plus,tramadol paracetamol,analgesic
dolopar,paracetamol,analgesic
pansec,pantoprazole,ppi
pantocid,pantoprazole,ppi
rabium d,rabeprazole domperidone,ppi
esomac d,esomeprazole domperidone,ppi
nexpro rd,esomeprazole domperidone,ppi
lanzol d,lansoprazole domperidone,ppi
met xl,metformin,antidiabetic
glycomet gp,glimepiride metformin,antidiabetic
glucoryl,glimepiride,antidiabetic
amaryl m,glimepiride metformin,antidiabetic
trajenta duo,linagliptin metformin,antidiabetic
glyxambi,empagliflozin linagliptin,antidiabetic
jalra,vildagliptin,antidiabetic
jalra m,vildagliptin metformin,antidiabetic
tenepiride,teneligliptin,antidiabetic
zita,sitagliptin,antidiabetic
zita met,sitagliptin metformin,antidiabetic
telmikind,telmisartan,antihypertensive
telma am,telmisartan amlodipine,antihypertensive
losakind,losartan,antihypertensive
repace,losartan,antihypertensive
amlong,amlodipine,antihypertensive
amlogard,amlodipine,antihypertensive
metoprolol xl,metoprolol,antihypertensive
betacard,metoprolol,antihypertensive
atenolol,atenolol,antihypertensive
atenova,atenolol,antihypertensive
ramistar h,ramipril hydrochlorothiazide,antihypertensive
enalapril h,enalapril hydrochlorothiazide,antihypertensive
lasilactone,spironolactone furosemide,diuretic
tor,torsemide,diuretic
dytor,torsemide,diuretic
fruselac,furosemide spironolactone,diuretic
clavam forte,amoxicillin clavulanic acid,antibiotic
augmentin 625,amoxicillin clavulanic acid,antibiotic
moxclav,amoxicillin clavulanic acid,antibiotic
azee 500,azithromycin,antibiotic
azithral,azithromycin,antibiotic
cefix o,cefixime ofloxacin,antibiotic
zifi az,azithromycin cefixime,antibiotic
taxim o,cefixime ofloxacin,antibiotic
monocef o,cefixime ofloxacin,antibiotic
oflox tz,ofloxacin tinidazole,antibiotic
norflox tz,norfloxacin tinidazole,antibiotic
ciplox tz,ciprofloxacin tinidazole,antibiotic
levoflox tz,levofloxacin tinidazole,antibiotic
cefspan ds,cefixime,antibiotic
cefurox 500,cefuroxime,antibiotic
rocephin inj,ceftriaxone,antibiotic
meromac,meropenem,antibiotic
tazact inj,piperacillin tazobactam,antibiotic
linezolid,linezolid,antibiotic
zyvoxid,linezolid,antibiotic
montair fx,montelukast fexofenadine,antiallergic
levocet m,montelukast levocetirizine,antiallergic
cetzine m,montelukast cetirizine,antiallergic
allegra m,montelukast fexofenadine,antiallergic
telekast,montelukast,antiallergic
asthalin respules,salbutamol,bronchodilator
duolin respules,ipratropium salbutamol,bronchodilator
budecort respules,budesonide,steroid
foracort inhaler,formoterol budesonide,bronchodilator
seroflo inhaler,salmeterol fluticasone,bronchodilator
insugen insulin,insulin,antidiabetic
huminsulin,insulin,antidiabetic
novorapid flexpen,insulin aspart,antidiabetic
lantus vial,insulin glargine,antidiabetic
diclogel,diclofenac topical,analgesic
relispray plus,diclofenac spray,analgesic
volini gel,diclofenac gel,analgesic
moov spray,diclofenac methyl salicylate,analgesic
digene gel,aluminium magnesium hydroxide,antacid
gelusil mps,magaldrate simethicone,antacid
eno fruit salt,sodium bicarbonate,antacid
gaviscon syrup,sodium alginate,antacid
dulcoflex tab,bisacodyl,laxative
lactifiber,lactulose,laxative
cremaffin plus,liquid paraffin milk of magnesia,laxative
senna tablets,senna,laxative
revital h,multivitamin,supplement
becosules z,vitamin b complex,supplement
neurobion forte,vitamin b complex,supplement
shelcal hd,calcium vitamin d,supplement
calcirol sachet,vitamin d3,supplement
limcee chewable,vitamin c,supplement
dexorange syrup,iron folic acid,supplement
ferium,iron supplement,supplement
rantac 150,ranitidine,h2 blocker
famocid 20,famotidine,h2 blocker
buscopan plus tab,hyoscine paracetamol,antispasmodic
cyclopam syrup,dicycloverine,antispasmodic
drotin,drotaverine,antispasmodic
meftal forte,mefenamic acid,analgesic
sumo l,nimesulide paracetamol,analgesic
nise mr,nimesulide tizanidine,analgesic
betnovate cream,betamethasone,steroid
omnacortil 10,prednisolone,steroid
wysolone 5,prednisolone,steroid
dexona inj,dexamethasone,steroid
metrogyl 400,metronidazole,antibiotic
fasigyn 500,tinidazole,antibiotic
zentel 400,albendazole,anthelmintic
ivrea 12,ivermectin,antiparasitic
doxy 100,doxycycline,antibiotic
rifagut 400,rifaximin,antibiotic
isonex 300,isoniazid,antibiotic
pyzina 750,pyrazinamide,antibiotic
myambutol 800,ethambutol,antibiotic
coumadin 5,warfarin,anticoagulant
xarelto 10,rivaroxaban,anticoagulant
eliquis 5,apixaban,anticoagulant
clexane inj,enoxaparin,anticoagulant
ondem od,ondansetron,antiemetic
vomikind md,ondansetron,antiemetic
domstal dt,domperidone,antiemetic
perinorm inj,metoclopramide,antiemetic
atarax 25,hydroxyzine,antihistamine
alprax 0.5,alprazolam,anxiolytic
lonazep 1,clonazepam,anxiolytic
restyl 0.5,alprazolam,anxiolytic
zolpidem 10,zolpidem,sedative
zolfresh,zolpidem,sedative
serlift,sertraline,antidepressant
fluox,fluoxetine,antidepressant
nexito,escitalopram,antidepressant
parox,paroxetine,antidepressant
venlor,venlafaxine,antidepressant
dulane,duloxetine,antidepressant
gabapin nt,gabapentin nortriptyline,neuropathic
pregaba nt,pregabalin nortriptyline,neuropathic
tegretol cr,carbamazepine,antiepileptic
valparin chrono,valproate,antiepileptic
levipil xr,levetiracetam,antiepileptic
topamac,topiramate,antiepileptic
